origin,destination,walk_distance,travel_time,boardings
1,1,36.0,26,0
1,2,138.787,347,1
1,3,194.2934887203367,647,1
1,4,264.13226315611155,1070,1
1,5,1571.8988496195473,3572,2
1,6,509.67249623903666,3573,2
1,7,623.317,4986,2
1,8,537.6352030048986,2032,2
1,9,916.1697669122348,2021,1
1,10,1285.9683383414977,5015,2
1,11,1059.060796988648,4564,2
1,12,827.8407368390484,1504,1
1,13,657.7843984927106,4133,1
1,14,752.3799774422866,3918,2
2,1,138.787,347,1
2,2,54.0,40,0
2,3,197.40848872033672,399,1
2,4,267.24726315611156,822,1
2,5,1575.0138496195473,3150,2
2,6,512.7874962390367,3151,2
2,7,626.432,4564,2
2,8,540.7502030048986,1610,2
2,9,518.6722180422985,1409,1
2,10,1042.4883909723976,5105,2
2,11,1062.175796988648,4142,2
2,12,830.9557368390484,1256,1
2,13,1674.3255714131294,3038,1
2,14,579.0791954845853,3569,2
3,1,194.2934887203367,647,1
3,2,197.40848872033672,399,1
3,3,52.0,38,0
3,4,322.75375187644823,621,1
3,5,1630.5203383398841,3152,2
3,6,568.2939849593732,3153,2
3,7,681.9384887203366,4566,2
3,8,596.2566917252353,1612,2
3,9,658.1354060114107,1441,1
3,10,1181.9515789415095,5163,2
3,11,1117.6822857089844,4144,2
3,12,886.462225559385,1055,1
3,13,937.1642932244578,2440,1
3,14,1461.4450225496469,3211,1
4,1,264.13226315611155,1070,1
4,2,267.24726315611156,822,1
4,3,322.75375187644823,621,1
4,4,20.0,14,0
4,5,1446.6585112715961,2147,1
4,6,384.4321578910856,2148,1
4,7,498.07666165204887,3561,1
4,8,412.3948646569475,607,1
4,9,654.1716691675223,759,1
4,10,1456.4050676634592,3965,2
4,11,933.820458640697,3139,1
4,12,666.2241428536856,518,0
4,13,815.4706541301223,2154,1
4,14,590.9295488650962,2592,1
